Статьи,PL группа 1,Статьи затрат PL в 1 C,%,Факт,%_сравнеие,Период,Monthnumber
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка покупателю),,117973615.24000001,58%,2023,5
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка покупателю),,113358832.92000002,57%,2023,6
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка покупателю),,210739753.62,77%,2023,7
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка с СВХ на наш склад),,50000,-2892%,2023,1
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка с СВХ на наш склад),,250000,-498%,2023,3
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка с СВХ на наш склад),,1961000,24%,2023,4
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка с СВХ на наш склад),,150000,-897%,2023,5
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (доставка с СВХ на наш склад),,462000,-224%,2023,6
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (перемещения товара),,2973755.56,-4114%,2023,1
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (перемещения товара),,3502487.36,-3477%,2023,2
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (перемещения товара),,14987208.27,-736%,2023,3
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (перемещения товара),,63980203.56999999,-96%,2023,4
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (перемещения товара),,54840657.35,-128%,2023,5
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (перемещения товара),,29697864.470000003,-322%,2023,6
Расходы по Логистике,Расходы по Логистике,Транспортные расходы (перемещения товара),,19303000,-549%,2023,7
Расходы по Логистике,Расходы по Логистике,Транспортные услуги для поступлений товаров(Импорт),,7.450580596923828e-9,106%,2023,1
Расходы по Логистике,Расходы по Логистике,Транспортные услуги для поступлений товаров(Импорт),,2.9802322387695312e-8,102%,2023,3
Расходы по Логистике,Расходы по Логистике,Транспортные услуги для поступлений товаров(Импорт),,609999.9999999851,100%,2023,4
Расходы по Логистике,Расходы по Логистике,Транспортные услуги для поступлений товаров(Импорт),,8327695.000000009,100%,2023,5
Расходы по Логистике,Расходы по Логистике,Транспортные услуги для поступлений товаров(Импорт),,-1522007,100%,2023,6
Расходы по Логистике,Расходы по Логистике,Транспортные услуги для поступлений товаров(Импорт),,600000,100%,2023,7
Расходы по Логистике,Расходы по Логистике,Услуги грузчиков,,5000000,-250%,2023,1
Расходы по Логистике,Расходы по Логистике,Услуги грузчиков,,5000000,-250%,2023,2
Расходы по Логистике,Расходы по Логистике,Услуги грузчиков,,5057000,-247%,2023,3
Расходы по Логистике,Расходы по Логистике,Услуги грузчиков,,6010908,-192%,2023,4
Расходы по Логистике,Расходы по Логистике,Услуги грузчиков,,6941000,-152%,2023,5
Расходы по Логистике,Расходы по Логистике,Услуги грузчиков,,1432900,-1123%,2023,6
Расходы по Логистике,Расходы по Логистике,Услуги грузчиков,,500000,-3405%,2023,7
Расходы по Логистике,Расходы по Логистике,Услуги СВХ,,332851.82,-3531%,2023,1
Расходы по Логистике,Расходы по Логистике,Услуги СВХ,,275265.58999999997,-4290%,2023,2
Расходы по Логистике,Расходы по Логистике,Услуги СВХ,,2329771.1899999995,-419%,2023,3
Расходы по Логистике,Расходы по Логистике,Услуги СВХ,,7287952.160000001,-66%,2023,4
Расходы по Логистике,Расходы по Логистике,Услуги СВХ,,3877578.61,-212%,2023,5
Расходы по Логистике,Расходы по Логистике,Услуги СВХ,,1640522.3900000001,-637%,2023,6
Расходы по Логистике,Расходы по Логистике,Услуги СВХ,,756020.5399999999,-1499%,2023,7
Агенские расходы,Агенские расходы,Агентские расходы,,20473819.87,-1444%,2023,1
Агенские расходы,Агенские расходы,Агентские расходы,,6630470,-4669%,2023,2
Агенские расходы,Агенские расходы,Агентские расходы,,3328046,-9401%,2023,3
Агенские расходы,Агенские расходы,Агентские расходы,,17308664,-1727%,2023,4
Агенские расходы,Агенские расходы,Агентские расходы,,9013541.3,-3408%,2023,5
Агенские расходы,Агенские расходы,Агентские расходы,,12544438,-2421%,2023,6
Агенские расходы,Агенские расходы,Агентские расходы,,2423556.88,-12947%,2023,7
Прочие Операционные расходы,Прочие Операционные расходы,Аренда помещений (склады),,26621845.82,-1081%,2023,1
Прочие Операционные расходы,Прочие Операционные расходы,Аренда помещений (склады),,28089512.78,-1019%,2023,2
Прочие Операционные расходы,Прочие Операционные расходы,Аренда помещений (склады),,55105196.96,-470%,2023,3
Прочие Операционные расходы,Прочие Операционные расходы,Аренда помещений (склады),,30187366.15,-941%,2023,4
Прочие Операционные расходы,Прочие Операционные расходы,Аренда помещений (склады),,60702434.12,-418%,2023,5
Прочие Операционные расходы,Прочие Операционные расходы,Аренда помещений (склады),,39725402.3,-691%,2023,6
Прочие Операционные расходы,Прочие Операционные расходы,Аренда помещений (склады),,33668519.63,-833%,2023,7
Прочие Операционные расходы,Прочие Операционные расходы,Аренда помещений (склады),,758928.57,-41313%,2023,8
Прочие Операционные расходы,Прочие Операционные расходы,Аренда склада,,937500,79%,2023,6
Прочие Операционные расходы,Прочие Операционные расходы,ГСМ,,7097147.17,-861%,2023,1
Прочие Операционные расходы,Прочие Операционные расходы,ГСМ,,7394912.43,-822%,2023,2
Прочие Операционные расходы,Прочие Операционные расходы,ГСМ,,8446037.280000001,-707%,2023,3
Прочие Операционные расходы,Прочие Операционные расходы,ГСМ,,9166481.809999999,-644%,2023,4
Прочие Операционные расходы,Прочие Операционные расходы,ГСМ,,10193896.479999999,-569%,2023,5
Прочие Операционные расходы,Прочие Операционные расходы,ГСМ,,11292956.190000001,-504%,2023,6
Прочие Операционные расходы,Прочие Операционные расходы,Интернет,,517503.25,-871%,2023,1
Прочие Операционные расходы,Прочие Операционные расходы,Интернет,,476384.58999999997,-955%,2023,2
Прочие Операционные расходы,Прочие Операционные расходы,Интернет,,574253.71,-775%,2023,3
Прочие Операционные расходы,Прочие Операционные расходы,Интернет,,520801.72,-865%,2023,4
Прочие Операционные расходы,Прочие Операционные расходы,Интернет,,574523.66,-775%,2023,5
Прочие Операционные расходы,Прочие Операционные расходы,Интернет,,559805.29,-798%,2023,6
Прочие Операционные расходы,Прочие Операционные расходы,Коммунальные платежи (склады),,292195.63,-338%,2023,1
Прочие Операционные расходы,Прочие Операционные расходы,Коммунальные платежи (склады),,234823.63,-445%,2023,2
Прочие Операционные расходы,Прочие Операционные расходы,Коммунальные платежи (склады),,277428.26,-362%,2023,3
Прочие Операционные расходы,Прочие Операционные расходы,Коммунальные платежи (склады),,89969.15,-1323%,2023,4
Прочие Операционные расходы,Прочие Операционные расходы,Коммунальные платежи (склады),,81142.69,-1478%,2023,5
Прочие Операционные расходы,Прочие Операционные расходы,Коммунальные услуги,,37447.8,100%,2023,5
Прочие Операционные расходы,Прочие Операционные расходы,Коммунальные услуги,,61925.89,100%,2023,6
Прочие Операционные расходы,Прочие Операционные расходы,Лабораторные исследования,,254500,-1231%,2023,2
Прочие Операционные расходы,Прочие Операционные расходы,Лабораторные исследования,,2922871.45,-16%,2023,3
Прочие Операционные расходы,Прочие Операционные расходы,Лабораторные исследования,,148401.79,-2183%,2023,4
Прочие Операционные расходы,Прочие Операционные расходы,Лабораторные исследования,,2221758.91,-52%,2023,5
