Статьи,PL группа 1,Статьи затрат PL в 1 C,%,Факт,%_сравнеие,Период,Monthnumber
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,0,,2021,9
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-7.275957614183426e-12,7064420894893932000%,2021,11
Доп. транспортные расходы,Доп. транспортные расходы,Брокерские услуги,,-7.275957614183426e-12,7064420894893932000%,2021,12
Доп. транспортные расходы,Доп. транспортные расходы,Расходы на приобретение ОС (автопарк),,22345,100%,2023,1
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,447290,-1060%,2023,2
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,3585474,-45%,2023,3
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,8821471,41%,2023,4
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,9992154.6,48%,2023,5
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,1825353,-184%,2023,6
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,343166,-1412%,2023,7
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,264350,-1863%,2023,8
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,754427,100%,2022,4
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,2184798,100%,2022,5
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,815078,100%,2022,6
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,395581,100%,2022,7
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,215247,100%,2022,8
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,90036,100%,2022,9
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,110610,100%,2022,10
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,470728,100%,2022,11
Доп. транспортные расходы,Доп. транспортные расходы,Страхование груза,,153231,100%,2022,12
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,-1.4551915228366852e-11,-250%,2023,1
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,1.1641532182693481e-10,144%,2023,2
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2023,3
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,3.3924152376130223e-10,115%,2023,4
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2023,5
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2023,6
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,60000,100%,2023,7
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2022,1
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,2.9103830456733704e-11,113%,2022,2
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,1.1641532182693481e-10,103%,2022,3
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,-5.820766091346741e-11,94%,2022,4
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,1.1641532182693481e-10,103%,2022,5
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2022,6
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2022,7
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2022,10
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2022,11
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,2.9103830456733704e-11,113%,2022,12
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2021,2
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2021,3
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,-2.9103830456733704e-11,68719476736000140%,2021,4
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,5.820766091346741e-11,-34359738367999920%,2021,5
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2021,6
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2021,7
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2021,9
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,-3.637978807091713e-12,549755813888000400%,2021,11
Доп. транспортные расходы,Доп. транспортные расходы,Таможенные платежи,,0,,2021,12
Доп. транспортные расходы,Доп. транспортные расходы,Транспортные расходы (LTD),,6250,-481%,2022,1
Доп. транспортные расходы,Доп. транспортные расходы,Транспортные расходы (LTD),,17857.14,-103%,2022,2
Доп. транспортные расходы,Доп. транспортные расходы,Транспортные расходы (LTD),,1000000,96%,2022,5
Доп. транспортные расходы,Доп. транспортные расходы,Транспортные расходы (LTD),,8928.57,-306%,2022,9
Доп. транспортные расходы,Доп. транспортные расходы,Транспортные расходы (LTD),,1700,-9808198%,2021,3
Доп. транспортные расходы,Доп. транспортные расходы,Транспортные расходы (LTD),,14585,-1143137%,2021,6
Доп. транспортные расходы,Доп. транспортные расходы,Транспортные расходы (LTD),,20000,-833605%,2021,7
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,936051.2,-582%,2023,1
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,1013723.2,-530%,2023,2
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,1124032,-468%,2023,3
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,1145368,-458%,2023,4
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,984910,-548%,2023,5
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,1360610,-369%,2023,6
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,187610,-2088%,2022,1
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,354360,-1058%,2022,2
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,348119.64,-1079%,2022,3
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,420310,-877%,2022,4
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,455490,-801%,2022,5
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,700110,-486%,2022,6
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,678310,-505%,2022,7
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,757890,-442%,2022,8
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,847600,-384%,2022,9
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,686820,-498%,2022,10
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,949950,-332%,2022,11
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,330456,-973%,2021,1
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,299050,-1085%,2021,2
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,260825.6,-1259%,2021,3
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,224851.2,-1477%,2021,4
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,355163.2,-898%,2021,5
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,362840,-877%,2021,6
