Статьи затрат для PL,Статьи затрат PL в 1 C,guid,kod,PL группа 1
После сезонная скидка от поставщика (зарезервированная),После сезонная скидка от поставщика (зарезервированная),0xAF8ED4F5EF10792511ECB3FA6C8BE40E,00-000015,Кредит нота за товар
"Почтовые, курьерские, транспортные услуги","Почтовые, курьерские, транспортные услуги",0x861700155D01C90111E6F39986AB8504,00-000019,Прочие Операционные расходы
Представительсике расходы,Представительские расходы на вытчеты,0xA22E7085C2A4312A11EAABC9C8D0A26D,00-000141,Расходы группы развитие продуктов
Представительские расходы,Представительские расходы,0x801E00155D01C90111E6E1FC75542B6C,00-000004,Расходы группы развитие продуктов
Проведенией Акций,Выполнение услуги по акции,0xAF98D4F5EF10792511EDB2989875E18F,00-000181,Прямые маркетинговые расходы
Прочие административные расходы,Прочие административные расходы,0x83C700155D01C90111E6F8E02EB9658C,00-000022,Прочие Административные расходы
Прочие доходы,Доход от государственных субсидий,0xAF93D4F5EF10792511ED49485959CC4D,00-000016,Прочие доходы
Прочие доходы,"Доход по штрафам, пеням, неустойкам",0xAF7ED4F5EF10792511EBC35A5AAF8C62,00-000012,Прочие доходы
Прочие доходы,Доходы от оприходования излишков на складах,0xAF7ED4F5EF10792511EBC359BC156E6D,00-000009,Прочие доходы
Прочие доходы,Доходы от реализации ОС и НМА,0x80DE000C29E67B2E11E628A464E5C167,УТ-000004,Прочие доходы
Прочие доходы,Доходы от списания обязательств,0xAF83D4F5EF10792511EBDEEFF1357104,00-000013,Прочие доходы
Прочие доходы,Прочие доходы (доход от неосновной деятельности),0x80F4000C29EF79CA11E85E49061AC718,00-000002,Прочие доходы
Прочие расходы,Погрешность расчета себестоимости,0x80DE000C29E67B2E11E628A464E5C16B,УТ-000002,Прочие Операционные расходы
Прочие расходы,Порча товара,0x83C700155D01C90111E70593F9B5D646,00-000025,Прочие Операционные расходы
Прочие расходы,Прочие работы и услуги,0x80DD00155D01C90111E81316ED3A2CF8,00-000050,Прочие Операционные расходы
Прочие расходы,Прочие расходы,0x801E00155D01C90111E6E6C99B4F2619,00-000009,Прочие Операционные расходы
Прочие расходы на маркетинг,Прочие расходы на маркетинг,0xA23F00155D01C80911E9F16301DD8A9F,00-000101,Прямие маркетинговые расходы
Прочие расходы на персонал,Прочие расходы на персонал,0xA23F00155D01C80911E9F165CA5047AF,00-000111,Прочие Операционные расходы
Прочие расходы по логистике,Прочие расходы по логистике,0xA23F00155D01C80911E9F0DAA463C25A,00-000083,Расходы по Логистике
ПЦР,Лабораторные исследования,0xA23F00155D01C80911E9F0D596440269,00-000079,Прочие Операционные расходы
Разницы стоимости возврата и фактической стоимости товаров,Разницы стоимости возврата и фактической стоимости товаров,0x80DE000C29E67B2E11E628A464E5C166,УТ-000004,Расходы по торговле
Разницы стоимости возврата и фактической стоимости товаров,Разницы стоимости возврата и фактической стоимости товаров,0x80DE000C29E67B2E11E628A464E5C16D,УТ-000003,Расходы по торговле
Расходы Автопарка,Абонетская плата (GPS мониторинга),0x80DD00155D01C90111E8125362A3E08B,00-000048,Расходы по торговле
Расходы Автопарка,Прочие расходы автопарка,0xA23F00155D01C80911E9EE6F04353549,00-000069,Расходы по торговле
Расходы ГО,"Поддержка ГО, представительств",0xA23F00155D01C80911E9F162E00EBC25,00-000100,Прочие Административные расходы
Расходы ГО,"Покупка мелкого IT оборудования, периферии",0xA23F00155D01C80911E9EE6D0A3FA86D,00-000064,Прочие Административные расходы
